,gene,plate,row,column,area.48,mean_intensity.48,corrected_area.48,corrected_mean_intensity.48
163,Filler,0,6,19,67.0,0.0009173875704996003,67.0,0.0009173875704996003
164,Sc_CCM 28,0,6,20,55.0,0.001856539519150915,55.0,0.001856539519150915
165,Filler,0,6,21,73.0,0.0009375180693252489,73.0,0.0009375180693252489
166,Sc_CCM 32,0,6,22,91.0,0.0012545125710506679,91.0,0.0012545125710506679
167,Filler,0,6,23,90.0,0.001020697011578193,90.0,0.001020697011578193
168,Filler,0,7,0,86.0,0.0010370243887785607,67.70212765957447,0.0009225048965726037
169,Filler,0,7,1,87.0,0.0009964129947999747,79.9751552795031,0.0009779972938545088
170,Filler,0,7,2,82.0,0.0009806231776310645,83.00232828870779,0.000985223279978629
171,Filler,0,7,3,77.0,0.0009604949592377073,74.0,0.0009675744917576918
172,Filler,0,7,4,68.0,0.0009648395785443587,69.88888888888889,0.0009836335098705425
173,Filler,0,7,5,72.0,0.0009737657560144553,72.0,0.0009737657560144553
174,Filler,0,7,6,67.0,0.000982754540419842,67.0,0.000982754540419842
175,Filler,0,7,7,72.0,0.0009990399027509393,72.0,0.0009990399027509393
176,Filler,0,7,8,71.0,0.001003082583433941,71.0,0.001003082583433941
177,Filler,0,7,9,74.0,0.0010157406038862177,74.0,0.0010157406038862177
178,Filler,0,7,10,74.0,0.0010209371833678157,74.0,0.0010209371833678157
179,Filler,0,7,11,78.0,0.001051750894028039,78.0,0.001051750894028039
180,Filler,0,7,12,71.0,0.0010187622521428182,71.0,0.0010187622521428182
181,Filler,0,7,13,74.0,0.0010332053263949338,74.0,0.0010332053263949338
182,Filler,0,7,14,73.0,0.0010189147736138365,73.0,0.0010189147736138365
183,Filler,0,7,15,74.0,0.0010049339354708713,74.0,0.0010049339354708713
184,Filler,0,7,16,71.0,0.0009817441036347808,71.0,0.0009817441036347808
185,Filler,0,7,17,76.0,0.0009762695601515147,76.0,0.0009762695601515147
186,Filler,0,7,18,74.0,0.0009614279691672851,74.0,0.0009614279691672851
187,Filler,0,7,19,72.0,0.000942163668601966,72.0,0.000942163668601966
188,Filler,0,7,20,77.0,0.0009330243297657641,77.0,0.0009330243297657641
189,Filler,0,7,21,76.0,0.0009473386556833415,76.0,0.0009473386556833415
190,Filler,0,7,22,71.0,0.0009528428802215573,71.0,0.0009528428802215573
191,Filler,0,7,23,87.0,0.0010366760943319332,87.0,0.0010366760943319332
192,Sc_CCM 16,0,8,0,91.0,0.0013615675415183295,71.63829787234043,0.0012112084707519737
193,Filler,0,8,1,72.0,0.000983426281618475,66.1863354037267,0.0009652506010535773
194,Sc_CCM 32,0,8,2,92.0,0.0012416887013923478,93.12456344586728,0.0012475134618513222
195,Filler,0,8,3,67.0,0.0009471059195050466,64.38961038961038,0.0009540867652580813
196,Sc_CCM 27,0,8,4,52.0,0.001380681342005726,53.44444444444444,0.0014075753779698675
197,Filler,0,8,5,67.0,0.000959776447777119,67.0,0.000959776447777119
198,Sc_CCM 29,0,8,6,67.0,0.0009702428769047678,67.0,0.0009702428769047678
199,Filler,0,8,7,73.0,0.0009824633122922284,73.0,0.0009824633122922284
200,Sc_CCM 27,0,8,8,60.0,0.0015620609590641563,60.0,0.0015620609590641563
201,Filler,0,8,9,76.0,0.001006716447372982,76.0,0.001006716447372982
202,Sc_CCM 19,0,8,10,59.0,0.0011328092573145926,59.0,0.0011328092573145926
203,Filler,0,8,11,72.0,0.0010269286975589894,72.0,0.0010269286975589894
204,Sc_CCM 00,0,8,12,117.0,0.0005516653715990267,117.0,0.0005516653715990267
205,Filler,0,8,13,71.0,0.0010069206993703675,71.0,0.0010069206993703675
206,Sc_CCM 23,0,8,14,55.0,0.0013957466402604079,55.0,0.0013957466402604079
207,Filler,0,8,15,70.0,0.0009918363908532296,70.0,0.0009918363908532296
208,Sc_CCM 13,0,8,16,96.0,0.0010267582981559956,96.0,0.0010267582981559956
209,Filler,0,8,17,72.0,0.0009607908112570956,72.0,0.0009607908112570956
210,Sc_CCM 21,0,8,18,48.0,0.001289737892189466,48.0,0.001289737892189466
211,Filler,0,8,19,66.0,0.0009283398392295537,66.0,0.0009283398392295537
212,Sc_CCM 29,0,8,20,61.0,0.0009090001867077678,61.0,0.0009090001867077678
213,Filler,0,8,21,68.0,0.000946618101821341,68.0,0.000946618101821341
214,Sc_CCM 09,0,8,22,92.0,0.00046373181624199624,92.0,0.00046373181624199624
215,Filler,0,8,23,82.0,0.0010249111526540581,82.0,0.0010249111526540581
216,Filler,0,9,0,82.0,0.0010432942147993725,64.55319148936171,0.0009280823403313467
217,Filler,0,9,1,86.0,0.0009965954330106283,79.05590062111801,0.00097817636024289
218,Filler,0,9,2,81.0,0.000966314334741037,81.99010477299184,0.0009708473143208852
219,Filler,0,9,3,86.0,0.0009643230555978646,82.64935064935065,0.0009714308039168086
220,Filler,0,9,4,67.0,0.0009351735847265719,68.8611111111111,0.0009533896576575026
221,Filler,0,9,5,83.0,0.00098430623779417,83.0,0.00098430623779417
222,Filler,0,9,6,70.0,0.0009663805440935108,70.0,0.0009663805440935108
223,Filler,0,9,7,75.0,0.0009713583128389151,75.0,0.0009713583128389151
224,Filler,0,9,8,75.0,0.0009567430420343892,75.0,0.0009567430420343892
225,Filler,0,9,9,79.0,0.0009914181448085545,79.0,0.0009914181448085545
226,Filler,0,9,10,71.0,0.0009825513315166005,71.0,0.0009825513315166005
227,Filler,0,9,11,73.0,0.001016193663389435,73.0,0.001016193663389435
228,Filler,0,9,12,72.0,0.00100411883889751,72.0,0.00100411883889751
229,Filler,0,9,13,73.0,0.0010005608761592642,73.0,0.0010005608761592642
230,Filler,0,9,14,70.0,0.0009732180151798197,70.0,0.0009732180151798197
231,Filler,0,9,15,71.0,0.0009592730627104001,71.0,0.0009592730627104001
232,Filler,0,9,16,73.0,0.0009502475466496404,73.0,0.0009502475466496404
233,Filler,0,9,17,71.0,0.0009408215761999791,71.0,0.0009408215761999791
234,Filler,0,9,18,72.0,0.0009300497910458871,72.0,0.0009300497910458871
235,Filler,0,9,19,70.0,0.0009258551063195527,70.0,0.0009258551063195527
236,Filler,0,9,20,70.0,0.0009158407794126373,70.0,0.0009158407794126373
237,Filler,0,9,21,76.0,0.0009422855533016787,76.0,0.0009422855533016787
238,Filler,0,9,22,80.0,0.0009687957563407032,80.0,0.0009687957563407032
239,Filler,0,9,23,87.0,0.0010265952475202,87.0,0.0010265952475202
240,Sc_CCM 15,0,10,0,77.0,0.001315959874173296,60.61702127659575,0.0011706372972074414
241,Filler,0,10,1,80.0,0.0010017341868401501,73.54037267080744,0.0009832201396448895
242,Sc_CCM 23,0,10,2,44.0,0.0013269296283216366,44.53783469150174,0.0013331542538837623
243,Filler,0,10,3,79.0,0.0009585819372699063,75.92207792207792,0.0009656473694543272
244,Sc_CCM 19,0,10,4,49.0,0.0010431934301314656,50.36111111111111,0.0010635136016105377
245,Filler,0,10,5,69.0,0.0009523551001002203,69.0,0.0009523551001002203
246,Sc_CCM 31,0,10,6,48.0,0.001077667401170379,48.0,0.001077667401170379
247,Filler,0,10,7,68.0,0.000943950504440739,68.0,0.000943950504440739
248,Sc_CCM 25,0,10,8,61.0,0.0017828197705001636,61.0,0.0017828197705001636
249,Filler,0,10,9,76.0,0.00096092612838809,76.0,0.00096092612838809
250,Sc_CCM 17,0,10,10,61.0,0.0011478557088157502,61.0,0.0011478557088157502
251,Filler,0,10,11,73.0,0.0009960802813913966,73.0,0.0009960802813913966
252,Sc_CCM 27,0,10,12,62.0,0.001373272732872396,62.0,0.001373272732872396
253,Filler,0,10,13,71.0,0.0009769615685466537,71.0,0.0009769615685466537
254,Sc_CCM 30,0,10,14,106.0,0.0010438484691890058,106.0,0.0010438484691890058
255,Filler,0,10,15,73.0,0.0009402283480776978,73.0,0.0009402283480776978
256,Sc_CCM 28,0,10,16,61.0,0.002016164418661571,61.0,0.002016164418661571
257,Filler,0,10,17,69.0,0.000914044048483426,69.0,0.000914044048483426
258,Sc_CCM 28,0,10,18,58.0,0.0018811578043388569,58.0,0.0018811578043388569
259,Filler,0,10,19,68.0,0.0008921336402925073,68.0,0.0008921336402925073
260,Sc_CCM 25,0,10,20,62.0,0.0017693014203957111,62.0,0.0017693014203957111
261,Filler,0,10,21,75.0,0.0009361652388795511,75.0,0.0009361652388795511
262,Sc_CCM 11,0,10,22,85.0,0.0009915263945569908,85.0,0.0009915263945569908
263,Filler,0,10,23,93.0,0.0010459819310447767,93.0,0.0010459819310447767
264,Filler,0,11,0,85.0,0.001098506479958468,66.91489361702128,0.0009771974677201265
265,Filler,0,11,1,80.0,0.0010376772161425022,73.54037267080744,0.0010184988700248465
266,Filler,0,11,2,91.0,0.0010114830610939243,92.11233993015134,0.0010162279271240136
267,Filler,0,11,3,90.0,0.0009846871214838125,86.49350649350649,0.0009919449674844695
268,Filler,0,11,4,84.0,0.0009772854104556255,86.33333333333333,0.0009963217718348867
269,Filler,0,11,5,75.0,0.0009703402559664383,75.0,0.0009703402559664383
270,Filler,0,11,6,81.0,0.0009970967144311287,81.0,0.0009970967144311287
271,Filler,0,11,7,73.0,0.0009649697684127224,73.0,0.0009649697684127224
272,Filler,0,11,8,85.0,0.0009718757510437247,85.0,0.0009718757510437247
273,Filler,0,11,9,80.0,0.000982960083416276,80.0,0.000982960083416276
274,Filler,0,11,10,75.0,0.0009708448895515402,75.0,0.0009708448895515402
275,Filler,0,11,11,72.0,0.0009826765105375836,72.0,0.0009826765105375836
276,Filler,0,11,12,74.0,0.0009606213817169045,74.0,0.0009606213817169045
277,Filler,0,11,13,73.0,0.0009579595156502454,73.0,0.0009579595156502454
278,Filler,0,11,14,74.0,0.0009422439421642784,74.0,0.0009422439421642784
279,Filler,0,11,15,78.0,0.0009437119916293306,78.0,0.0009437119916293306
280,Filler,0,11,16,77.0,0.000949200126950933,77.0,0.000949200126950933
281,Filler,0,11,17,73.0,0.0009359973041944947,73.0,0.0009359973041944947
282,Filler,0,11,18,73.0,0.0009332290539479646,73.0,0.0009332290539479646
283,Filler,0,11,19,81.0,0.0009596495082379159,81.0,0.0009596495082379159
284,Filler,0,11,20,82.0,0.0009719743749279983,82.0,0.0009719743749279983
285,Filler,0,11,21,81.0,0.0009955778745913157,81.0,0.0009955778745913157
286,Filler,0,11,22,82.0,0.0010193862361795288,82.0,0.0010193862361795288
